Darnell Martin,"[u'tt0110091', u'tt1042877', u'tt0110091']", W,T,
André P. Brink,[u'tt0097243']
Colin Welland,[u'tt0097243']
Euzhan Palcy,"[u'tt0097243', u'tt0086213']", W,T,
Amma Asante,[u'tt0365914'], W,T,
George Dawes Green,"[u'tt0182000', u'tt0182000']"
Michael Genet,"[u'tt0796368', u'tt0796368']"
Rick Famuyiwa,[u'tt0796368']
Paris Qualles,[u'tt0293562']
Claire Denis,[u'tt1100048']
Jean-Pol Fargeau,[u'tt1100048']
N/A,"[u'tt0180645', u'tt2040342', u'tt0098674', u'tt2577990', u'tt1634340']"
Ana Lily Amirpour,[u'tt2326554']
Jacqueline Kim,[u'tt3090670']
 Jennifer Phang,[u'tt3090670']
Lakshmi Bhoopal,[u'tt1830477']
Christine Swanson,[u'tt0239570'], W,T,
Chika Anadu,[u'tt2784204'], W,T,
Joseph Kessel,[u'tt0061395']
Luis Buñuel,[u'tt0061395']
Jean-Claude Carrière,[u'tt0061395']
Gurinder Chadha,"[u'tt0286499', u'tt0106408']", W,T,
 Guljit Bindra,[u'tt0286499']
 Paul Mayeda Berges,[u'tt0286499']
Dee Rees,"[u'tt3704352', u'tt3704352', u'tt1233334']", W,T,
Christopher Cleveland,[u'tt3704352']
Bettina Gilois,[u'tt3704352']
Horton Foote,[u'tt3704352']
Gina Prince-Bythewood,"[u'tt3125324', u'tt0416212']", W,T,
Meera Syal,[u'tt0106408']
Nadine Labaki,"[u'tt0825236', u'tt0825236']", W,T,
Jihad Hojeily,"[u'tt0825236', u'tt0825236']"
Rodney El Haddad,[u'tt0825236']
Maryam Keshavarz,[u'tt1684628'], W,T,
Preston A. Whitmore II,"[u'tt0326806', u'tt0326806']"
Joyce Renee Lewis,[u'tt0326806']
Marc Arthur Chéry,[u'tt0223027']
Julie Dash,[u'tt0104057'], W,T,
Mina Shum,[u'tt0109655'], W,T,
Myron Goble,"[u'tt0142231', u'tt0142231']"
Salim Akil,[u'tt0181517']
 Cauleen Smith,[u'tt0181517']
Gary Whitta,[u'tt1815862']
M. Night Shyamalan,[u'tt1815862']
Will Smith,[u'tt1815862']
Zoltán Füle,[u'tt3898506']
Márk Grátz,[u'tt3898506']
Simon Beaufoy,"[u'tt1951264', u'tt1010048']"
Michael Arndt,[u'tt1951264']
Suzanne Collins,[u'tt1951264']
Hayden Herrera,"[u'tt0120679', u'tt0120679']"
Clancy Sigal,"[u'tt0120679', u'tt0120679']"
Diane Lake,"[u'tt0120679', u'tt0120679']"
Gregory Nava,"[u'tt0120679', u'tt0120679']"
Anna Thomas,"[u'tt0120679', u'tt0120679']"
Hiram Martinez,[u'tt1817676']
Karyn Kusama,[u'tt0210075'], W,T,
Susan Youssef,[u'tt1670646'], W,T,
Mitra Bahrami,"[u'tt2440036', u'tt2440036', u'tt2440036']"
Pouran Derakhshandeh,"[u'tt2440036', u'tt2440036', u'tt2440036']"
 Pouran Derakhshandeh,"[u'tt2440036', u'tt2440036', u'tt2440036', u'tt2440036', u'tt2440036', u'tt2440036']"
Rebecca Johnson,[u'tt3159818']
 Rebecca Johnson,[u'tt3159818']
Mark Edwin Robinson,[u'tt2179087']
Bradley Rust Gray,[u'tt0492463']
 So Yong Kim,[u'tt0492463']
Earl Mills,[u'tt0172348']
Shonda Rhimes,[u'tt0172348']
Scott Abbott,[u'tt0172348']
Leslie Harris,[u'tt0104575'], W,T,
Michael Elliot,[u'tt1407061']
Helena Kriel,[u'tt0116743']
 Mira Nair,[u'tt0116743']
Wajida Tabassuh,[u'tt0116743']
Kathleen Collins,[u'tt0084269'], W,T,
Dan Fogelman,[u'tt1570728']
Zoya Akhtar,[u'tt0886539'], W,T,
Javed Akhtar,[u'tt0886539']
Allison Anders,[u'tt0107566']
Michelle Morgan,[u'tt1032817']
Tina Mabry,[u'tt1169834'], W,T,
Sooni Taraporevala,[u'tt0102456']
Alison Swan,[u'tt0155877'], W,T,
Sabrina Dhawan,[u'tt0265343']
Aurora Guerrero,[u'tt1978480'], W,T,T
So Yong Kim,[u'tt1143155']
Tanya Hamilton,[u'tt0775543'], W,T,
Kayo Hatta,"[u'tt0114129', u'tt0114129']", W,T,
Mari Hatta,"[u'tt0114129', u'tt0114129']"
Diane Mei Lin Mark,[u'tt0114129']
Barry Morrow,"[u'tt0095953', u'tt0095953']"
Ronald Bass,[u'tt0095953']
Josefina Lopez,"[u'tt0296166', u'tt0296166']"
George LaVoo,[u'tt0296166']
Alice Wu,"[u'tt0384504', u'tt0384504']", W,T,
Akira Toriyama,[u'tt0142239']
Takao Koyama,[u'tt0142239']
Mungai Kiroga,[u'tt2400272']
 Jc Niala,[u'tt2400272']
Kriss Turner,[u'tt0437777']
Naomi Kawase,[u'tt3230162'], W,T,
Catherine Crouch,[u'tt0258223']
 Cheryl Dunye,[u'tt0258223']
Joseph Zobel,[u'tt0086213']
David Benioff,[u'tt0419887']
Khaled Hosseini,[u'tt0419887']
Sue Monk Kidd,[u'tt0416212']
Cheryl Dunye,[u'tt0118125'], W,T,T
Zora Neale Hurston,[u'tt0406265']
Suzan-Lori Parks,[u'tt0406265']
Misan Sagay,[u'tt0406265']
Bobby Smith Jr.,[u'tt0406265']
Allan Loeb,[u'tt0469623']
Haifaa Al-Mansour,[u'tt2258858']
Richard LaGravenese,[u'tt1067583']
Sara Gruen,[u'tt1067583']
Niki Caro,[u'tt0298228'], W,,
Witi Ihimaera,[u'tt0298228']
Thomas Bidegain,[u'tt1772424']
 Rodney El Haddad,[u'tt1772424']
 Bassam Habib,[u'tt1772424']
 Jihad Hojeily,[u'tt1772424']
 Nadine Labaki,[u'tt1772424']
Whitney Cummings,[u'tt1850458']
Cory Tynan,"[u'tt1996346', u'tt1996346']"
T.D. Jakes,[u'tt1996346']
Joan Chen,[u'tt0115005'], W,T,
Geling Yan,"[u'tt0115005', u'tt0115005']"
Victoria Mahoney,[u'tt1504508'], W,T,
Marialy Rivas,[u'tt2125698'], W,T,
 Pedro Peirano,[u'tt2125698']
 Sebastián Sepúlveda,[u'tt2125698']
 Camila Gutiérrez,[u'tt2125698']
Vikas Swarup,[u'tt1010048']
Ken Chubb,[u'tt1372306']
Sook-Yin Lee,[u'tt1372306'], W,T,
Tanya Wright,[u'tt1524105']
Arch Hall Sr.,[u'tt0379585']
